Theme,Feedback,Sentiment,Satisfaction,Readmission,Feedback_Length,Word_Count,Theme_Sentiment_Ratio,about,admitted,after,and,appointments,appreciated,before,being,by,clear,clearly,comfortable,communicative,condition,confused,confusing,did,discharge,doctor,doctors,due,during,easy,excellent,explained,feel,felt,follow,for,forever,forgot,had,helpful,hours,instructions,jargon,long,made,me,medical,medication,medicines,much,my,not,notes,nurse,nurses,on,paperwork,patient,pharmacy,prescriptions,process,quickly,reminders,rushed,schedule,seen,service,staff,started,tests,the,time,to,too,took,unclear,understand,used,very,wait,waiting,was,well,were,Theme_communication,Theme_discharge,Theme_medication,Theme_wait_time
discharge,discharge instructions were very clear,1,4,1,38,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5913469714336866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350700239123747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3631676425388815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5034598034284753,0.0,0.0,0.0,0.0,0.37676994492563426,False,True,False,False
communication,i felt the doctor used too much medical jargon,1,5,0,46,9,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31230300351983314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3414784153824956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4010890747807258,0.0,0.0,0.0,0.4010890747807258,0.0,0.0,0.4010890747807258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19810804491206874,0.0,0.0,0.3211273029931183,0.0,0.0,0.0,0.4010890747807258,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
medication,i appreciated the reminders about my medicines,1,4,0,46,7,0.5,0.4077407074642401,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.29950413082539135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23654998602569074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
discharge,instructions after discharge were not helpful,0,1,1,45,6,0.5,0.0,0.0,0.4973466751474018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3223802285697524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4973466751474018,0.0,0.33384085480908654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4122610419327334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3463447338012218,False,True,False,False
discharge,instructions after discharge were not helpful,0,2,1,45,6,0.5,0.0,0.0,0.4973466751474018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3223802285697524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4973466751474018,0.0,0.33384085480908654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4122610419327334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3463447338012218,False,True,False,False
wait_time,waiting time was too long,0,1,1,25,5,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168867056023675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45232152613695853,0.0,0.45232152613695853,0.0,0.0,0.0,0.0,0.0,0.0,0.4284581811060756,0.3742488404805953,0.0,0.0,False,False,False,True
discharge,discharge instructions were very clear,1,5,0,38,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5913469714336866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350700239123747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3631676425388815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5034598034284753,0.0,0.0,0.0,0.0,0.37676994492563426,False,True,False,False
discharge,instructions after discharge were not helpful,0,1,0,45,6,0.5,0.0,0.0,0.4973466751474018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3223802285697524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4973466751474018,0.0,0.33384085480908654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4122610419327334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3463447338012218,False,True,False,False
medication,the pharmacy service was excellent,1,5,0,34,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210881764807379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210881764807379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210881764807379,0.0,0.0,0.0,0.25737863821354523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34519208216191627,0.0,0.0,False,False,True,False
wait_time,i was seen by the doctor quickly,1,5,0,32,7,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48285680365032124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37597042535357583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48285680365032124,0.0,0.0,0.0,0.48285680365032124,0.0,0.0,0.0,0.0,0.23849519560200347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198659132198968,0.0,0.0,False,False,False,True
